composition,adults,children,monthly_income,payment,benefit,hourly_wage
"1 adult, 2 children",1,2,4540,0,Housing Choice Voucher,26.09
"1 adult, 3 children",1,3,4540,0,Housing Choice Voucher,26.09
2 adults,2,0,4540,0,Housing Choice Voucher,26.09
"2 adults, 1 child",2,1,4540,0,Housing Choice Voucher,26.09
"2 adults, 2 children",2,2,4540,0,Housing Choice Voucher,26.09
"2 adults, 3 children",2,3,4540,0,Housing Choice Voucher,26.09
1 adult,1,0,4550,0,Housing Choice Voucher,26.15
"1 adult, 1 child",1,1,4550,0,Housing Choice Voucher,26.15
"1 adult, 2 children",1,2,4550,0,Housing Choice Voucher,26.15
"1 adult, 3 children",1,3,4550,0,Housing Choice Voucher,26.15
2 adults,2,0,4550,0,Housing Choice Voucher,26.15
"2 adults, 1 child",2,1,4550,0,Housing Choice Voucher,26.15
"2 adults, 2 children",2,2,4550,0,Housing Choice Voucher,26.15
"2 adults, 3 children",2,3,4550,0,Housing Choice Voucher,26.15
1 adult,1,0,4560,0,Housing Choice Voucher,26.21
"1 adult, 1 child",1,1,4560,0,Housing Choice Voucher,26.21
"1 adult, 2 children",1,2,4560,0,Housing Choice Voucher,26.21
"1 adult, 3 children",1,3,4560,0,Housing Choice Voucher,26.21
2 adults,2,0,4560,0,Housing Choice Voucher,26.21
"2 adults, 1 child",2,1,4560,0,Housing Choice Voucher,26.21
"2 adults, 2 children",2,2,4560,0,Housing Choice Voucher,26.21
"2 adults, 3 children",2,3,4560,0,Housing Choice Voucher,26.21
1 adult,1,0,4570,0,Housing Choice Voucher,26.26
"1 adult, 1 child",1,1,4570,0,Housing Choice Voucher,26.26
"1 adult, 2 children",1,2,4570,0,Housing Choice Voucher,26.26
"1 adult, 3 children",1,3,4570,0,Housing Choice Voucher,26.26
2 adults,2,0,4570,0,Housing Choice Voucher,26.26
"2 adults, 1 child",2,1,4570,0,Housing Choice Voucher,26.26
"2 adults, 2 children",2,2,4570,0,Housing Choice Voucher,26.26
"2 adults, 3 children",2,3,4570,0,Housing Choice Voucher,26.26
1 adult,1,0,4580,0,Housing Choice Voucher,26.32
"1 adult, 1 child",1,1,4580,0,Housing Choice Voucher,26.32
"1 adult, 2 children",1,2,4580,0,Housing Choice Voucher,26.32
"1 adult, 3 children",1,3,4580,0,Housing Choice Voucher,26.32
2 adults,2,0,4580,0,Housing Choice Voucher,26.32
"2 adults, 1 child",2,1,4580,0,Housing Choice Voucher,26.32
"2 adults, 2 children",2,2,4580,0,Housing Choice Voucher,26.32
"2 adults, 3 children",2,3,4580,0,Housing Choice Voucher,26.32
1 adult,1,0,4590,0,Housing Choice Voucher,26.38
"1 adult, 1 child",1,1,4590,0,Housing Choice Voucher,26.38
"1 adult, 2 children",1,2,4590,0,Housing Choice Voucher,26.38
"1 adult, 3 children",1,3,4590,0,Housing Choice Voucher,26.38
2 adults,2,0,4590,0,Housing Choice Voucher,26.38
"2 adults, 1 child",2,1,4590,0,Housing Choice Voucher,26.38
"2 adults, 2 children",2,2,4590,0,Housing Choice Voucher,26.38
"2 adults, 3 children",2,3,4590,0,Housing Choice Voucher,26.38
1 adult,1,0,4600,0,Housing Choice Voucher,26.44
"1 adult, 1 child",1,1,4600,0,Housing Choice Voucher,26.44
"1 adult, 2 children",1,2,4600,0,Housing Choice Voucher,26.44
"1 adult, 3 children",1,3,4600,0,Housing Choice Voucher,26.44
2 adults,2,0,4600,0,Housing Choice Voucher,26.44
"2 adults, 1 child",2,1,4600,0,Housing Choice Voucher,26.44
"2 adults, 2 children",2,2,4600,0,Housing Choice Voucher,26.44
"2 adults, 3 children",2,3,4600,0,Housing Choice Voucher,26.44
1 adult,1,0,4610,0,Housing Choice Voucher,26.49
"1 adult, 1 child",1,1,4610,0,Housing Choice Voucher,26.49
"1 adult, 2 children",1,2,4610,0,Housing Choice Voucher,26.49
"1 adult, 3 children",1,3,4610,0,Housing Choice Voucher,26.49
2 adults,2,0,4610,0,Housing Choice Voucher,26.49
"2 adults, 1 child",2,1,4610,0,Housing Choice Voucher,26.49
"2 adults, 2 children",2,2,4610,0,Housing Choice Voucher,26.49
"2 adults, 3 children",2,3,4610,0,Housing Choice Voucher,26.49
1 adult,1,0,4620,0,Housing Choice Voucher,26.55
"1 adult, 1 child",1,1,4620,0,Housing Choice Voucher,26.55
"1 adult, 2 children",1,2,4620,0,Housing Choice Voucher,26.55
"1 adult, 3 children",1,3,4620,0,Housing Choice Voucher,26.55
2 adults,2,0,4620,0,Housing Choice Voucher,26.55
"2 adults, 1 child",2,1,4620,0,Housing Choice Voucher,26.55
"2 adults, 2 children",2,2,4620,0,Housing Choice Voucher,26.55
"2 adults, 3 children",2,3,4620,0,Housing Choice Voucher,26.55
1 adult,1,0,4630,0,Housing Choice Voucher,26.61
"1 adult, 1 child",1,1,4630,0,Housing Choice Voucher,26.61
"1 adult, 2 children",1,2,4630,0,Housing Choice Voucher,26.61
"1 adult, 3 children",1,3,4630,0,Housing Choice Voucher,26.61
2 adults,2,0,4630,0,Housing Choice Voucher,26.61
"2 adults, 1 child",2,1,4630,0,Housing Choice Voucher,26.61
"2 adults, 2 children",2,2,4630,0,Housing Choice Voucher,26.61
"2 adults, 3 children",2,3,4630,0,Housing Choice Voucher,26.61
1 adult,1,0,4640,0,Housing Choice Voucher,26.67
"1 adult, 1 child",1,1,4640,0,Housing Choice Voucher,26.67
"1 adult, 2 children",1,2,4640,0,Housing Choice Voucher,26.67
"1 adult, 3 children",1,3,4640,0,Housing Choice Voucher,26.67
2 adults,2,0,4640,0,Housing Choice Voucher,26.67
"2 adults, 1 child",2,1,4640,0,Housing Choice Voucher,26.67
"2 adults, 2 children",2,2,4640,0,Housing Choice Voucher,26.67
"2 adults, 3 children",2,3,4640,0,Housing Choice Voucher,26.67
1 adult,1,0,4650,0,Housing Choice Voucher,26.72
"1 adult, 1 child",1,1,4650,0,Housing Choice Voucher,26.72
"1 adult, 2 children",1,2,4650,0,Housing Choice Voucher,26.72
"1 adult, 3 children",1,3,4650,0,Housing Choice Voucher,26.72
2 adults,2,0,4650,0,Housing Choice Voucher,26.72
"2 adults, 1 child",2,1,4650,0,Housing Choice Voucher,26.72
"2 adults, 2 children",2,2,4650,0,Housing Choice Voucher,26.72
"2 adults, 3 children",2,3,4650,0,Housing Choice Voucher,26.72
1 adult,1,0,4660,0,Housing Choice Voucher,26.78
"1 adult, 1 child",1,1,4660,0,Housing Choice Voucher,26.78
"1 adult, 2 children",1,2,4660,0,Housing Choice Voucher,26.78
"1 adult, 3 children",1,3,4660,0,Housing Choice Voucher,26.78
2 adults,2,0,4660,0,Housing Choice Voucher,26.78
"2 adults, 1 child",2,1,4660,0,Housing Choice Voucher,26.78
"2 adults, 2 children",2,2,4660,0,Housing Choice Voucher,26.78
"2 adults, 3 children",2,3,4660,0,Housing Choice Voucher,26.78
1 adult,1,0,4670,0,Housing Choice Voucher,26.84
"1 adult, 1 child",1,1,4670,0,Housing Choice Voucher,26.84
"1 adult, 2 children",1,2,4670,0,Housing Choice Voucher,26.84
"1 adult, 3 children",1,3,4670,0,Housing Choice Voucher,26.84
2 adults,2,0,4670,0,Housing Choice Voucher,26.84
"2 adults, 1 child",2,1,4670,0,Housing Choice Voucher,26.84
"2 adults, 2 children",2,2,4670,0,Housing Choice Voucher,26.84
"2 adults, 3 children",2,3,4670,0,Housing Choice Voucher,26.84
1 adult,1,0,4680,0,Housing Choice Voucher,26.9
"1 adult, 1 child",1,1,4680,0,Housing Choice Voucher,26.9
"1 adult, 2 children",1,2,4680,0,Housing Choice Voucher,26.9
"1 adult, 3 children",1,3,4680,0,Housing Choice Voucher,26.9
2 adults,2,0,4680,0,Housing Choice Voucher,26.9
"2 adults, 1 child",2,1,4680,0,Housing Choice Voucher,26.9
"2 adults, 2 children",2,2,4680,0,Housing Choice Voucher,26.9
"2 adults, 3 children",2,3,4680,0,Housing Choice Voucher,26.9
1 adult,1,0,4690,0,Housing Choice Voucher,26.95
"1 adult, 1 child",1,1,4690,0,Housing Choice Voucher,26.95
"1 adult, 2 children",1,2,4690,0,Housing Choice Voucher,26.95
"1 adult, 3 children",1,3,4690,0,Housing Choice Voucher,26.95
2 adults,2,0,4690,0,Housing Choice Voucher,26.95
"2 adults, 1 child",2,1,4690,0,Housing Choice Voucher,26.95
"2 adults, 2 children",2,2,4690,0,Housing Choice Voucher,26.95
"2 adults, 3 children",2,3,4690,0,Housing Choice Voucher,26.95
1 adult,1,0,4700,0,Housing Choice Voucher,27.01
"1 adult, 1 child",1,1,4700,0,Housing Choice Voucher,27.01
"1 adult, 2 children",1,2,4700,0,Housing Choice Voucher,27.01
"1 adult, 3 children",1,3,4700,0,Housing Choice Voucher,27.01
2 adults,2,0,4700,0,Housing Choice Voucher,27.01
"2 adults, 1 child",2,1,4700,0,Housing Choice Voucher,27.01
"2 adults, 2 children",2,2,4700,0,Housing Choice Voucher,27.01
"2 adults, 3 children",2,3,4700,0,Housing Choice Voucher,27.01
1 adult,1,0,4710,0,Housing Choice Voucher,27.07
"1 adult, 1 child",1,1,4710,0,Housing Choice Voucher,27.07
"1 adult, 2 children",1,2,4710,0,Housing Choice Voucher,27.07
"1 adult, 3 children",1,3,4710,0,Housing Choice Voucher,27.07
2 adults,2,0,4710,0,Housing Choice Voucher,27.07
"2 adults, 1 child",2,1,4710,0,Housing Choice Voucher,27.07
"2 adults, 2 children",2,2,4710,0,Housing Choice Voucher,27.07
"2 adults, 3 children",2,3,4710,0,Housing Choice Voucher,27.07
1 adult,1,0,4720,0,Housing Choice Voucher,27.13
"1 adult, 1 child",1,1,4720,0,Housing Choice Voucher,27.13
"1 adult, 2 children",1,2,4720,0,Housing Choice Voucher,27.13
"1 adult, 3 children",1,3,4720,0,Housing Choice Voucher,27.13
2 adults,2,0,4720,0,Housing Choice Voucher,27.13
"2 adults, 1 child",2,1,4720,0,Housing Choice Voucher,27.13
"2 adults, 2 children",2,2,4720,0,Housing Choice Voucher,27.13
"2 adults, 3 children",2,3,4720,0,Housing Choice Voucher,27.13
1 adult,1,0,4730,0,Housing Choice Voucher,27.18
"1 adult, 1 child",1,1,4730,0,Housing Choice Voucher,27.18
"1 adult, 2 children",1,2,4730,0,Housing Choice Voucher,27.18
"1 adult, 3 children",1,3,4730,0,Housing Choice Voucher,27.18
2 adults,2,0,4730,0,Housing Choice Voucher,27.18
"2 adults, 1 child",2,1,4730,0,Housing Choice Voucher,27.18
"2 adults, 2 children",2,2,4730,0,Housing Choice Voucher,27.18
"2 adults, 3 children",2,3,4730,0,Housing Choice Voucher,27.18
1 adult,1,0,4740,0,Housing Choice Voucher,27.24
"1 adult, 1 child",1,1,4740,0,Housing Choice Voucher,27.24
"1 adult, 2 children",1,2,4740,0,Housing Choice Voucher,27.24
"1 adult, 3 children",1,3,4740,0,Housing Choice Voucher,27.24
2 adults,2,0,4740,0,Housing Choice Voucher,27.24
"2 adults, 1 child",2,1,4740,0,Housing Choice Voucher,27.24
"2 adults, 2 children",2,2,4740,0,Housing Choice Voucher,27.24
"2 adults, 3 children",2,3,4740,0,Housing Choice Voucher,27.24
1 adult,1,0,4750,0,Housing Choice Voucher,27.3
"1 adult, 1 child",1,1,4750,0,Housing Choice Voucher,27.3
"1 adult, 2 children",1,2,4750,0,Housing Choice Voucher,27.3
"1 adult, 3 children",1,3,4750,0,Housing Choice Voucher,27.3
2 adults,2,0,4750,0,Housing Choice Voucher,27.3
"2 adults, 1 child",2,1,4750,0,Housing Choice Voucher,27.3
"2 adults, 2 children",2,2,4750,0,Housing Choice Voucher,27.3
"2 adults, 3 children",2,3,4750,0,Housing Choice Voucher,27.3
1 adult,1,0,4760,0,Housing Choice Voucher,27.36
"1 adult, 1 child",1,1,4760,0,Housing Choice Voucher,27.36
"1 adult, 2 children",1,2,4760,0,Housing Choice Voucher,27.36
"1 adult, 3 children",1,3,4760,0,Housing Choice Voucher,27.36
2 adults,2,0,4760,0,Housing Choice Voucher,27.36
"2 adults, 1 child",2,1,4760,0,Housing Choice Voucher,27.36
"2 adults, 2 children",2,2,4760,0,Housing Choice Voucher,27.36
"2 adults, 3 children",2,3,4760,0,Housing Choice Voucher,27.36
1 adult,1,0,4770,0,Housing Choice Voucher,27.41
"1 adult, 1 child",1,1,4770,0,Housing Choice Voucher,27.41
"1 adult, 2 children",1,2,4770,0,Housing Choice Voucher,27.41
"1 adult, 3 children",1,3,4770,0,Housing Choice Voucher,27.41
2 adults,2,0,4770,0,Housing Choice Voucher,27.41
"2 adults, 1 child",2,1,4770,0,Housing Choice Voucher,27.41
"2 adults, 2 children",2,2,4770,0,Housing Choice Voucher,27.41
"2 adults, 3 children",2,3,4770,0,Housing Choice Voucher,27.41
1 adult,1,0,4780,0,Housing Choice Voucher,27.47
"1 adult, 1 child",1,1,4780,0,Housing Choice Voucher,27.47
"1 adult, 2 children",1,2,4780,0,Housing Choice Voucher,27.47
"1 adult, 3 children",1,3,4780,0,Housing Choice Voucher,27.47
2 adults,2,0,4780,0,Housing Choice Voucher,27.47
"2 adults, 1 child",2,1,4780,0,Housing Choice Voucher,27.47
"2 adults, 2 children",2,2,4780,0,Housing Choice Voucher,27.47
"2 adults, 3 children",2,3,4780,0,Housing Choice Voucher,27.47
1 adult,1,0,4790,0,Housing Choice Voucher,27.53
"1 adult, 1 child",1,1,4790,0,Housing Choice Voucher,27.53
"1 adult, 2 children",1,2,4790,0,Housing Choice Voucher,27.53
"1 adult, 3 children",1,3,4790,0,Housing Choice Voucher,27.53
2 adults,2,0,4790,0,Housing Choice Voucher,27.53
"2 adults, 1 child",2,1,4790,0,Housing Choice Voucher,27.53
"2 adults, 2 children",2,2,4790,0,Housing Choice Voucher,27.53
"2 adults, 3 children",2,3,4790,0,Housing Choice Voucher,27.53
1 adult,1,0,4800,0,Housing Choice Voucher,27.59
"1 adult, 1 child",1,1,4800,0,Housing Choice Voucher,27.59
"1 adult, 2 children",1,2,4800,0,Housing Choice Voucher,27.59
"1 adult, 3 children",1,3,4800,0,Housing Choice Voucher,27.59
2 adults,2,0,4800,0,Housing Choice Voucher,27.59
"2 adults, 1 child",2,1,4800,0,Housing Choice Voucher,27.59
"2 adults, 2 children",2,2,4800,0,Housing Choice Voucher,27.59
"2 adults, 3 children",2,3,4800,0,Housing Choice Voucher,27.59
1 adult,1,0,4810,0,Housing Choice Voucher,27.64
"1 adult, 1 child",1,1,4810,0,Housing Choice Voucher,27.64
"1 adult, 2 children",1,2,4810,0,Housing Choice Voucher,27.64
"1 adult, 3 children",1,3,4810,0,Housing Choice Voucher,27.64
2 adults,2,0,4810,0,Housing Choice Voucher,27.64
"2 adults, 1 child",2,1,4810,0,Housing Choice Voucher,27.64
"2 adults, 2 children",2,2,4810,0,Housing Choice Voucher,27.64
"2 adults, 3 children",2,3,4810,0,Housing Choice Voucher,27.64
1 adult,1,0,4820,0,Housing Choice Voucher,27.7
"1 adult, 1 child",1,1,4820,0,Housing Choice Voucher,27.7
"1 adult, 2 children",1,2,4820,0,Housing Choice Voucher,27.7
"1 adult, 3 children",1,3,4820,0,Housing Choice Voucher,27.7
2 adults,2,0,4820,0,Housing Choice Voucher,27.7
"2 adults, 1 child",2,1,4820,0,Housing Choice Voucher,27.7
"2 adults, 2 children",2,2,4820,0,Housing Choice Voucher,27.7
"2 adults, 3 children",2,3,4820,0,Housing Choice Voucher,27.7
1 adult,1,0,4830,0,Housing Choice Voucher,27.76
"1 adult, 1 child",1,1,4830,0,Housing Choice Voucher,27.76
"1 adult, 2 children",1,2,4830,0,Housing Choice Voucher,27.76
"1 adult, 3 children",1,3,4830,0,Housing Choice Voucher,27.76
2 adults,2,0,4830,0,Housing Choice Voucher,27.76
"2 adults, 1 child",2,1,4830,0,Housing Choice Voucher,27.76
"2 adults, 2 children",2,2,4830,0,Housing Choice Voucher,27.76
"2 adults, 3 children",2,3,4830,0,Housing Choice Voucher,27.76
1 adult,1,0,4840,0,Housing Choice Voucher,27.82
"1 adult, 1 child",1,1,4840,0,Housing Choice Voucher,27.82
"1 adult, 2 children",1,2,4840,0,Housing Choice Voucher,27.82
"1 adult, 3 children",1,3,4840,0,Housing Choice Voucher,27.82
2 adults,2,0,4840,0,Housing Choice Voucher,27.82
"2 adults, 1 child",2,1,4840,0,Housing Choice Voucher,27.82
"2 adults, 2 children",2,2,4840,0,Housing Choice Voucher,27.82
"2 adults, 3 children",2,3,4840,0,Housing Choice Voucher,27.82
1 adult,1,0,4850,0,Housing Choice Voucher,27.87
"1 adult, 1 child",1,1,4850,0,Housing Choice Voucher,27.87
"1 adult, 2 children",1,2,4850,0,Housing Choice Voucher,27.87
"1 adult, 3 children",1,3,4850,0,Housing Choice Voucher,27.87
2 adults,2,0,4850,0,Housing Choice Voucher,27.87
"2 adults, 1 child",2,1,4850,0,Housing Choice Voucher,27.87
"2 adults, 2 children",2,2,4850,0,Housing Choice Voucher,27.87
"2 adults, 3 children",2,3,4850,0,Housing Choice Voucher,27.87
1 adult,1,0,4860,0,Housing Choice Voucher,27.93
"1 adult, 1 child",1,1,4860,0,Housing Choice Voucher,27.93
"1 adult, 2 children",1,2,4860,0,Housing Choice Voucher,27.93
"1 adult, 3 children",1,3,4860,0,Housing Choice Voucher,27.93
2 adults,2,0,4860,0,Housing Choice Voucher,27.93
"2 adults, 1 child",2,1,4860,0,Housing Choice Voucher,27.93
"2 adults, 2 children",2,2,4860,0,Housing Choice Voucher,27.93
"2 adults, 3 children",2,3,4860,0,Housing Choice Voucher,27.93
1 adult,1,0,4870,0,Housing Choice Voucher,27.99
"1 adult, 1 child",1,1,4870,0,Housing Choice Voucher,27.99
"1 adult, 2 children",1,2,4870,0,Housing Choice Voucher,27.99
"1 adult, 3 children",1,3,4870,0,Housing Choice Voucher,27.99
2 adults,2,0,4870,0,Housing Choice Voucher,27.99
"2 adults, 1 child",2,1,4870,0,Housing Choice Voucher,27.99
"2 adults, 2 children",2,2,4870,0,Housing Choice Voucher,27.99
"2 adults, 3 children",2,3,4870,0,Housing Choice Voucher,27.99
1 adult,1,0,4880,0,Housing Choice Voucher,28.05
"1 adult, 1 child",1,1,4880,0,Housing Choice Voucher,28.05
"1 adult, 2 children",1,2,4880,0,Housing Choice Voucher,28.05
"1 adult, 3 children",1,3,4880,0,Housing Choice Voucher,28.05
2 adults,2,0,4880,0,Housing Choice Voucher,28.05
"2 adults, 1 child",2,1,4880,0,Housing Choice Voucher,28.05
"2 adults, 2 children",2,2,4880,0,Housing Choice Voucher,28.05
"2 adults, 3 children",2,3,4880,0,Housing Choice Voucher,28.05
1 adult,1,0,4890,0,Housing Choice Voucher,28.1
"1 adult, 1 child",1,1,4890,0,Housing Choice Voucher,28.1
"1 adult, 2 children",1,2,4890,0,Housing Choice Voucher,28.1
"1 adult, 3 children",1,3,4890,0,Housing Choice Voucher,28.1
2 adults,2,0,4890,0,Housing Choice Voucher,28.1
"2 adults, 1 child",2,1,4890,0,Housing Choice Voucher,28.1
"2 adults, 2 children",2,2,4890,0,Housing Choice Voucher,28.1
"2 adults, 3 children",2,3,4890,0,Housing Choice Voucher,28.1
1 adult,1,0,4900,0,Housing Choice Voucher,28.16
"1 adult, 1 child",1,1,4900,0,Housing Choice Voucher,28.16
"1 adult, 2 children",1,2,4900,0,Housing Choice Voucher,28.16
"1 adult, 3 children",1,3,4900,0,Housing Choice Voucher,28.16
2 adults,2,0,4900,0,Housing Choice Voucher,28.16
"2 adults, 1 child",2,1,4900,0,Housing Choice Voucher,28.16
"2 adults, 2 children",2,2,4900,0,Housing Choice Voucher,28.16
"2 adults, 3 children",2,3,4900,0,Housing Choice Voucher,28.16
1 adult,1,0,4910,0,Housing Choice Voucher,28.22
"1 adult, 1 child",1,1,4910,0,Housing Choice Voucher,28.22
"1 adult, 2 children",1,2,4910,0,Housing Choice Voucher,28.22
"1 adult, 3 children",1,3,4910,0,Housing Choice Voucher,28.22
2 adults,2,0,4910,0,Housing Choice Voucher,28.22
"2 adults, 1 child",2,1,4910,0,Housing Choice Voucher,28.22
"2 adults, 2 children",2,2,4910,0,Housing Choice Voucher,28.22
"2 adults, 3 children",2,3,4910,0,Housing Choice Voucher,28.22
1 adult,1,0,4920,0,Housing Choice Voucher,28.28
"1 adult, 1 child",1,1,4920,0,Housing Choice Voucher,28.28
"1 adult, 2 children",1,2,4920,0,Housing Choice Voucher,28.28
"1 adult, 3 children",1,3,4920,0,Housing Choice Voucher,28.28
2 adults,2,0,4920,0,Housing Choice Voucher,28.28
"2 adults, 1 child",2,1,4920,0,Housing Choice Voucher,28.28
"2 adults, 2 children",2,2,4920,0,Housing Choice Voucher,28.28
"2 adults, 3 children",2,3,4920,0,Housing Choice Voucher,28.28
1 adult,1,0,4930,0,Housing Choice Voucher,28.33
"1 adult, 1 child",1,1,4930,0,Housing Choice Voucher,28.33
"1 adult, 2 children",1,2,4930,0,Housing Choice Voucher,28.33
"1 adult, 3 children",1,3,4930,0,Housing Choice Voucher,28.33
2 adults,2,0,4930,0,Housing Choice Voucher,28.33
"2 adults, 1 child",2,1,4930,0,Housing Choice Voucher,28.33
"2 adults, 2 children",2,2,4930,0,Housing Choice Voucher,28.33
"2 adults, 3 children",2,3,4930,0,Housing Choice Voucher,28.33
1 adult,1,0,4940,0,Housing Choice Voucher,28.39
"1 adult, 1 child",1,1,4940,0,Housing Choice Voucher,28.39
"1 adult, 2 children",1,2,4940,0,Housing Choice Voucher,28.39
"1 adult, 3 children",1,3,4940,0,Housing Choice Voucher,28.39
2 adults,2,0,4940,0,Housing Choice Voucher,28.39
"2 adults, 1 child",2,1,4940,0,Housing Choice Voucher,28.39
"2 adults, 2 children",2,2,4940,0,Housing Choice Voucher,28.39
"2 adults, 3 children",2,3,4940,0,Housing Choice Voucher,28.39
1 adult,1,0,4950,0,Housing Choice Voucher,28.45
"1 adult, 1 child",1,1,4950,0,Housing Choice Voucher,28.45
"1 adult, 2 children",1,2,4950,0,Housing Choice Voucher,28.45
"1 adult, 3 children",1,3,4950,0,Housing Choice Voucher,28.45
2 adults,2,0,4950,0,Housing Choice Voucher,28.45
"2 adults, 1 child",2,1,4950,0,Housing Choice Voucher,28.45
"2 adults, 2 children",2,2,4950,0,Housing Choice Voucher,28.45
"2 adults, 3 children",2,3,4950,0,Housing Choice Voucher,28.45
1 adult,1,0,4960,0,Housing Choice Voucher,28.51
"1 adult, 1 child",1,1,4960,0,Housing Choice Voucher,28.51
"1 adult, 2 children",1,2,4960,0,Housing Choice Voucher,28.51
"1 adult, 3 children",1,3,4960,0,Housing Choice Voucher,28.51
2 adults,2,0,4960,0,Housing Choice Voucher,28.51
"2 adults, 1 child",2,1,4960,0,Housing Choice Voucher,28.51
"2 adults, 2 children",2,2,4960,0,Housing Choice Voucher,28.51
"2 adults, 3 children",2,3,4960,0,Housing Choice Voucher,28.51
1 adult,1,0,4970,0,Housing Choice Voucher,28.56
"1 adult, 1 child",1,1,4970,0,Housing Choice Voucher,28.56
"1 adult, 2 children",1,2,4970,0,Housing Choice Voucher,28.56
"1 adult, 3 children",1,3,4970,0,Housing Choice Voucher,28.56
2 adults,2,0,4970,0,Housing Choice Voucher,28.56
"2 adults, 1 child",2,1,4970,0,Housing Choice Voucher,28.56
"2 adults, 2 children",2,2,4970,0,Housing Choice Voucher,28.56
"2 adults, 3 children",2,3,4970,0,Housing Choice Voucher,28.56
1 adult,1,0,4980,0,Housing Choice Voucher,28.62
"1 adult, 1 child",1,1,4980,0,Housing Choice Voucher,28.62
"1 adult, 2 children",1,2,4980,0,Housing Choice Voucher,28.62
"1 adult, 3 children",1,3,4980,0,Housing Choice Voucher,28.62
2 adults,2,0,4980,0,Housing Choice Voucher,28.62
"2 adults, 1 child",2,1,4980,0,Housing Choice Voucher,28.62
"2 adults, 2 children",2,2,4980,0,Housing Choice Voucher,28.62
"2 adults, 3 children",2,3,4980,0,Housing Choice Voucher,28.62
1 adult,1,0,4990,0,Housing Choice Voucher,28.68
"1 adult, 1 child",1,1,4990,0,Housing Choice Voucher,28.68
"1 adult, 2 children",1,2,4990,0,Housing Choice Voucher,28.68
"1 adult, 3 children",1,3,4990,0,Housing Choice Voucher,28.68
2 adults,2,0,4990,0,Housing Choice Voucher,28.68
"2 adults, 1 child",2,1,4990,0,Housing Choice Voucher,28.68
"2 adults, 2 children",2,2,4990,0,Housing Choice Voucher,28.68
"2 adults, 3 children",2,3,4990,0,Housing Choice Voucher,28.68
1 adult,1,0,5000,0,Housing Choice Voucher,28.74
"1 adult, 1 child",1,1,5000,0,Housing Choice Voucher,28.74
"1 adult, 2 children",1,2,5000,0,Housing Choice Voucher,28.74
"1 adult, 3 children",1,3,5000,0,Housing Choice Voucher,28.74
2 adults,2,0,5000,0,Housing Choice Voucher,28.74
"2 adults, 1 child",2,1,5000,0,Housing Choice Voucher,28.74
"2 adults, 2 children",2,2,5000,0,Housing Choice Voucher,28.74
"2 adults, 3 children",2,3,5000,0,Housing Choice Voucher,28.74
1 adult,1,0,5010,0,Housing Choice Voucher,28.79
"1 adult, 1 child",1,1,5010,0,Housing Choice Voucher,28.79
"1 adult, 2 children",1,2,5010,0,Housing Choice Voucher,28.79
"1 adult, 3 children",1,3,5010,0,Housing Choice Voucher,28.79
2 adults,2,0,5010,0,Housing Choice Voucher,28.79
"2 adults, 1 child",2,1,5010,0,Housing Choice Voucher,28.79
"2 adults, 2 children",2,2,5010,0,Housing Choice Voucher,28.79
"2 adults, 3 children",2,3,5010,0,Housing Choice Voucher,28.79
1 adult,1,0,5020,0,Housing Choice Voucher,28.85
"1 adult, 1 child",1,1,5020,0,Housing Choice Voucher,28.85
"1 adult, 2 children",1,2,5020,0,Housing Choice Voucher,28.85
"1 adult, 3 children",1,3,5020,0,Housing Choice Voucher,28.85
2 adults,2,0,5020,0,Housing Choice Voucher,28.85
"2 adults, 1 child",2,1,5020,0,Housing Choice Voucher,28.85
"2 adults, 2 children",2,2,5020,0,Housing Choice Voucher,28.85
"2 adults, 3 children",2,3,5020,0,Housing Choice Voucher,28.85
1 adult,1,0,5030,0,Housing Choice Voucher,28.91
"1 adult, 1 child",1,1,5030,0,Housing Choice Voucher,28.91
"1 adult, 2 children",1,2,5030,0,Housing Choice Voucher,28.91
"1 adult, 3 children",1,3,5030,0,Housing Choice Voucher,28.91
2 adults,2,0,5030,0,Housing Choice Voucher,28.91
"2 adults, 1 child",2,1,5030,0,Housing Choice Voucher,28.91
"2 adults, 2 children",2,2,5030,0,Housing Choice Voucher,28.91
"2 adults, 3 children",2,3,5030,0,Housing Choice Voucher,28.91
1 adult,1,0,5040,0,Housing Choice Voucher,28.97
"1 adult, 1 child",1,1,5040,0,Housing Choice Voucher,28.97
"1 adult, 2 children",1,2,5040,0,Housing Choice Voucher,28.97
"1 adult, 3 children",1,3,5040,0,Housing Choice Voucher,28.97
2 adults,2,0,5040,0,Housing Choice Voucher,28.97
"2 adults, 1 child",2,1,5040,0,Housing Choice Voucher,28.97
"2 adults, 2 children",2,2,5040,0,Housing Choice Voucher,28.97
"2 adults, 3 children",2,3,5040,0,Housing Choice Voucher,28.97
1 adult,1,0,5050,0,Housing Choice Voucher,29.02
"1 adult, 1 child",1,1,5050,0,Housing Choice Voucher,29.02
"1 adult, 2 children",1,2,5050,0,Housing Choice Voucher,29.02
"1 adult, 3 children",1,3,5050,0,Housing Choice Voucher,29.02
2 adults,2,0,5050,0,Housing Choice Voucher,29.02
"2 adults, 1 child",2,1,5050,0,Housing Choice Voucher,29.02
"2 adults, 2 children",2,2,5050,0,Housing Choice Voucher,29.02
"2 adults, 3 children",2,3,5050,0,Housing Choice Voucher,29.02
1 adult,1,0,5060,0,Housing Choice Voucher,29.08
"1 adult, 1 child",1,1,5060,0,Housing Choice Voucher,29.08
"1 adult, 2 children",1,2,5060,0,Housing Choice Voucher,29.08
