composition,monthly_income,benefit,payment,hourly_wage
1 adult,4110,"SNAP, TANF, WIC, Housing",3267.21,23.62
1 adult,4110,"Child Care, SNAP, TANF, WIC, Housing",3267.21,23.62
1 adult,4110,After-tax income,3267.21,23.62
1 adult,4120,"SNAP, TANF, WIC, Housing",3274.69,23.68
1 adult,4120,"Child Care, SNAP, TANF, WIC, Housing",3274.69,23.68
1 adult,4120,After-tax income,3274.69,23.68
1 adult,4130,"SNAP, TANF, WIC, Housing",3282.18,23.74
1 adult,4130,"Child Care, SNAP, TANF, WIC, Housing",3282.18,23.74
1 adult,4130,After-tax income,3282.18,23.74
1 adult,4140,"SNAP, TANF, WIC, Housing",3289.67,23.79
1 adult,4140,"Child Care, SNAP, TANF, WIC, Housing",3289.67,23.79
1 adult,4140,After-tax income,3289.67,23.79
1 adult,4150,"SNAP, TANF, WIC, Housing",3297.15,23.85
1 adult,4150,"Child Care, SNAP, TANF, WIC, Housing",3297.15,23.85
1 adult,4150,After-tax income,3297.15,23.85
1 adult,4160,"SNAP, TANF, WIC, Housing",3304.64,23.91
1 adult,4160,"Child Care, SNAP, TANF, WIC, Housing",3304.64,23.91
1 adult,4160,After-tax income,3304.64,23.91
1 adult,4170,"SNAP, TANF, WIC, Housing",3312.12,23.97
1 adult,4170,"Child Care, SNAP, TANF, WIC, Housing",3312.12,23.97
1 adult,4170,After-tax income,3312.12,23.97
1 adult,4180,"SNAP, TANF, WIC, Housing",3319.61,24.02
1 adult,4180,"Child Care, SNAP, TANF, WIC, Housing",3319.61,24.02
1 adult,4180,After-tax income,3319.61,24.02
1 adult,4190,"SNAP, TANF, WIC, Housing",3327.09,24.08
1 adult,4190,"Child Care, SNAP, TANF, WIC, Housing",3327.09,24.08
1 adult,4190,After-tax income,3327.09,24.08
1 adult,4200,"SNAP, TANF, WIC, Housing",3334.58,24.14
1 adult,4200,"Child Care, SNAP, TANF, WIC, Housing",3334.58,24.14
1 adult,4200,After-tax income,3334.58,24.14
1 adult,4210,"SNAP, TANF, WIC, Housing",3342.06,24.2
1 adult,4210,"Child Care, SNAP, TANF, WIC, Housing",3342.06,24.2
1 adult,4210,After-tax income,3342.06,24.2
1 adult,4220,"SNAP, TANF, WIC, Housing",3349.55,24.25
1 adult,4220,"Child Care, SNAP, TANF, WIC, Housing",3349.55,24.25
1 adult,4220,After-tax income,3349.55,24.25
1 adult,4230,"SNAP, TANF, WIC, Housing",3356.53,24.31
1 adult,4230,"Child Care, SNAP, TANF, WIC, Housing",3356.53,24.31
1 adult,4230,After-tax income,3356.53,24.31
1 adult,4240,"SNAP, TANF, WIC, Housing",3363.01,24.37
1 adult,4240,"Child Care, SNAP, TANF, WIC, Housing",3363.01,24.37
1 adult,4240,After-tax income,3363.01,24.37
1 adult,4250,"SNAP, TANF, WIC, Housing",3369.5,24.43
1 adult,4250,"Child Care, SNAP, TANF, WIC, Housing",3369.5,24.43
1 adult,4250,After-tax income,3369.5,24.43
1 adult,4260,"SNAP, TANF, WIC, Housing",3375.99,24.48
1 adult,4260,"Child Care, SNAP, TANF, WIC, Housing",3375.99,24.48
1 adult,4260,After-tax income,3375.99,24.48
1 adult,4270,"SNAP, TANF, WIC, Housing",3382.47,24.54
1 adult,4270,"Child Care, SNAP, TANF, WIC, Housing",3382.47,24.54
1 adult,4270,After-tax income,3382.47,24.54
1 adult,4280,"SNAP, TANF, WIC, Housing",3388.95,24.6
1 adult,4280,"Child Care, SNAP, TANF, WIC, Housing",3388.95,24.6
1 adult,4280,After-tax income,3388.95,24.6
1 adult,4290,"SNAP, TANF, WIC, Housing",3395.44,24.66
1 adult,4290,"Child Care, SNAP, TANF, WIC, Housing",3395.44,24.66
1 adult,4290,After-tax income,3395.44,24.66
1 adult,4300,"SNAP, TANF, WIC, Housing",3401.92,24.71
1 adult,4300,"Child Care, SNAP, TANF, WIC, Housing",3401.92,24.71
1 adult,4300,After-tax income,3401.92,24.71
1 adult,4310,"SNAP, TANF, WIC, Housing",3408.41,24.77
1 adult,4310,"Child Care, SNAP, TANF, WIC, Housing",3408.41,24.77
1 adult,4310,After-tax income,3408.41,24.77
1 adult,4320,"SNAP, TANF, WIC, Housing",3414.89,24.83
1 adult,4320,"Child Care, SNAP, TANF, WIC, Housing",3414.89,24.83
1 adult,4320,After-tax income,3414.89,24.83
1 adult,4330,"SNAP, TANF, WIC, Housing",3421.38,24.89
1 adult,4330,"Child Care, SNAP, TANF, WIC, Housing",3421.38,24.89
1 adult,4330,After-tax income,3421.38,24.89
1 adult,4340,"SNAP, TANF, WIC, Housing",3427.86,24.94
1 adult,4340,"Child Care, SNAP, TANF, WIC, Housing",3427.86,24.94
1 adult,4340,After-tax income,3427.86,24.94
1 adult,4350,"SNAP, TANF, WIC, Housing",3434.35,25
1 adult,4350,"Child Care, SNAP, TANF, WIC, Housing",3434.35,25
1 adult,4350,After-tax income,3434.35,25
1 adult,4360,"SNAP, TANF, WIC, Housing",3440.83,25.06
1 adult,4360,"Child Care, SNAP, TANF, WIC, Housing",3440.83,25.06
1 adult,4360,After-tax income,3440.83,25.06
1 adult,4370,"SNAP, TANF, WIC, Housing",3447.32,25.11
1 adult,4370,"Child Care, SNAP, TANF, WIC, Housing",3447.32,25.11
1 adult,4370,After-tax income,3447.32,25.11
1 adult,4380,"SNAP, TANF, WIC, Housing",3453.81,25.17
1 adult,4380,"Child Care, SNAP, TANF, WIC, Housing",3453.81,25.17
1 adult,4380,After-tax income,3453.81,25.17
1 adult,4390,"SNAP, TANF, WIC, Housing",3460.29,25.23
1 adult,4390,"Child Care, SNAP, TANF, WIC, Housing",3460.29,25.23
1 adult,4390,After-tax income,3460.29,25.23
1 adult,4400,"SNAP, TANF, WIC, Housing",3466.78,25.29
1 adult,4400,"Child Care, SNAP, TANF, WIC, Housing",3466.78,25.29
1 adult,4400,After-tax income,3466.78,25.29
1 adult,4410,"SNAP, TANF, WIC, Housing",3473.26,25.34
1 adult,4410,"Child Care, SNAP, TANF, WIC, Housing",3473.26,25.34
1 adult,4410,After-tax income,3473.26,25.34
1 adult,4420,"SNAP, TANF, WIC, Housing",3479.75,25.4
1 adult,4420,"Child Care, SNAP, TANF, WIC, Housing",3479.75,25.4
1 adult,4420,After-tax income,3479.75,25.4
1 adult,4430,"SNAP, TANF, WIC, Housing",3486.23,25.46
1 adult,4430,"Child Care, SNAP, TANF, WIC, Housing",3486.23,25.46
1 adult,4430,After-tax income,3486.23,25.46
1 adult,4440,"SNAP, TANF, WIC, Housing",3492.72,25.52
1 adult,4440,"Child Care, SNAP, TANF, WIC, Housing",3492.72,25.52
1 adult,4440,After-tax income,3492.72,25.52
1 adult,4450,"SNAP, TANF, WIC, Housing",3499.2,25.57
1 adult,4450,"Child Care, SNAP, TANF, WIC, Housing",3499.2,25.57
1 adult,4450,After-tax income,3499.2,25.57
1 adult,4460,"SNAP, TANF, WIC, Housing",3505.68,25.63
1 adult,4460,"Child Care, SNAP, TANF, WIC, Housing",3505.68,25.63
1 adult,4460,After-tax income,3505.68,25.63
1 adult,4470,"SNAP, TANF, WIC, Housing",3512.17,25.69
1 adult,4470,"Child Care, SNAP, TANF, WIC, Housing",3512.17,25.69
1 adult,4470,After-tax income,3512.17,25.69
1 adult,4480,"SNAP, TANF, WIC, Housing",3518.66,25.75
1 adult,4480,"Child Care, SNAP, TANF, WIC, Housing",3518.66,25.75
1 adult,4480,After-tax income,3518.66,25.75
1 adult,4490,"SNAP, TANF, WIC, Housing",3525.14,25.8
1 adult,4490,"Child Care, SNAP, TANF, WIC, Housing",3525.14,25.8
1 adult,4490,After-tax income,3525.14,25.8
1 adult,4500,"SNAP, TANF, WIC, Housing",3531.62,25.86
1 adult,4500,"Child Care, SNAP, TANF, WIC, Housing",3531.62,25.86
1 adult,4500,After-tax income,3531.62,25.86
1 adult,4510,"SNAP, TANF, WIC, Housing",3538.11,25.92
1 adult,4510,"Child Care, SNAP, TANF, WIC, Housing",3538.11,25.92
1 adult,4510,After-tax income,3538.11,25.92
1 adult,4520,"SNAP, TANF, WIC, Housing",3544.59,25.98
1 adult,4520,"Child Care, SNAP, TANF, WIC, Housing",3544.59,25.98
1 adult,4520,After-tax income,3544.59,25.98
1 adult,4530,"SNAP, TANF, WIC, Housing",3551.08,26.03
1 adult,4530,"Child Care, SNAP, TANF, WIC, Housing",3551.08,26.03
1 adult,4530,After-tax income,3551.08,26.03
1 adult,4540,"SNAP, TANF, WIC, Housing",3557.57,26.09
1 adult,4540,"Child Care, SNAP, TANF, WIC, Housing",3557.57,26.09
1 adult,4540,After-tax income,3557.57,26.09
1 adult,4550,"SNAP, TANF, WIC, Housing",3564.05,26.15
1 adult,4550,"Child Care, SNAP, TANF, WIC, Housing",3564.05,26.15
1 adult,4550,After-tax income,3564.05,26.15
1 adult,4560,"SNAP, TANF, WIC, Housing",3570.53,26.21
1 adult,4560,"Child Care, SNAP, TANF, WIC, Housing",3570.53,26.21
1 adult,4560,After-tax income,3570.53,26.21
1 adult,4570,"SNAP, TANF, WIC, Housing",3577.02,26.26
1 adult,4570,"Child Care, SNAP, TANF, WIC, Housing",3577.02,26.26
1 adult,4570,After-tax income,3577.02,26.26
1 adult,4580,"SNAP, TANF, WIC, Housing",3583.5,26.32
1 adult,4580,"Child Care, SNAP, TANF, WIC, Housing",3583.5,26.32
1 adult,4580,After-tax income,3583.5,26.32
1 adult,4590,"SNAP, TANF, WIC, Housing",3589.99,26.38
1 adult,4590,"Child Care, SNAP, TANF, WIC, Housing",3589.99,26.38
1 adult,4590,After-tax income,3589.99,26.38
1 adult,4600,"SNAP, TANF, WIC, Housing",3596.47,26.44
1 adult,4600,"Child Care, SNAP, TANF, WIC, Housing",3596.47,26.44
1 adult,4600,After-tax income,3596.47,26.44
1 adult,4610,"SNAP, TANF, WIC, Housing",3602.96,26.49
1 adult,4610,"Child Care, SNAP, TANF, WIC, Housing",3602.96,26.49
1 adult,4610,After-tax income,3602.96,26.49
1 adult,4620,"SNAP, TANF, WIC, Housing",3609.44,26.55
1 adult,4620,"Child Care, SNAP, TANF, WIC, Housing",3609.44,26.55
1 adult,4620,After-tax income,3609.44,26.55
1 adult,4630,"SNAP, TANF, WIC, Housing",3615.93,26.61
1 adult,4630,"Child Care, SNAP, TANF, WIC, Housing",3615.93,26.61
1 adult,4630,After-tax income,3615.93,26.61
1 adult,4640,"SNAP, TANF, WIC, Housing",3622.42,26.67
1 adult,4640,"Child Care, SNAP, TANF, WIC, Housing",3622.42,26.67
1 adult,4640,After-tax income,3622.42,26.67
1 adult,4650,"SNAP, TANF, WIC, Housing",3628.9,26.72
1 adult,4650,"Child Care, SNAP, TANF, WIC, Housing",3628.9,26.72
1 adult,4650,After-tax income,3628.9,26.72
1 adult,4660,"SNAP, TANF, WIC, Housing",3635.39,26.78
1 adult,4660,"Child Care, SNAP, TANF, WIC, Housing",3635.39,26.78
1 adult,4660,After-tax income,3635.39,26.78
1 adult,4670,"SNAP, TANF, WIC, Housing",3641.87,26.84
1 adult,4670,"Child Care, SNAP, TANF, WIC, Housing",3641.87,26.84
1 adult,4670,After-tax income,3641.87,26.84
1 adult,4680,"SNAP, TANF, WIC, Housing",3648.36,26.9
1 adult,4680,"Child Care, SNAP, TANF, WIC, Housing",3648.36,26.9
1 adult,4680,After-tax income,3648.36,26.9
1 adult,4690,"SNAP, TANF, WIC, Housing",3654.84,26.95
1 adult,4690,"Child Care, SNAP, TANF, WIC, Housing",3654.84,26.95
1 adult,4690,After-tax income,3654.84,26.95
1 adult,4700,"SNAP, TANF, WIC, Housing",3661.33,27.01
1 adult,4700,"Child Care, SNAP, TANF, WIC, Housing",3661.33,27.01
1 adult,4700,After-tax income,3661.33,27.01
1 adult,4710,"SNAP, TANF, WIC, Housing",3667.81,27.07
1 adult,4710,"Child Care, SNAP, TANF, WIC, Housing",3667.81,27.07
1 adult,4710,After-tax income,3667.81,27.07
1 adult,4720,"SNAP, TANF, WIC, Housing",3674.3,27.13
1 adult,4720,"Child Care, SNAP, TANF, WIC, Housing",3674.3,27.13
1 adult,4720,After-tax income,3674.3,27.13
1 adult,4730,"SNAP, TANF, WIC, Housing",3680.78,27.18
1 adult,4730,"Child Care, SNAP, TANF, WIC, Housing",3680.78,27.18
1 adult,4730,After-tax income,3680.78,27.18
1 adult,4740,"SNAP, TANF, WIC, Housing",3687.26,27.24
1 adult,4740,"Child Care, SNAP, TANF, WIC, Housing",3687.26,27.24
1 adult,4740,After-tax income,3687.26,27.24
1 adult,4750,"SNAP, TANF, WIC, Housing",3693.75,27.3
1 adult,4750,"Child Care, SNAP, TANF, WIC, Housing",3693.75,27.3
1 adult,4750,After-tax income,3693.75,27.3
1 adult,4760,"SNAP, TANF, WIC, Housing",3700.24,27.36
1 adult,4760,"Child Care, SNAP, TANF, WIC, Housing",3700.24,27.36
1 adult,4760,After-tax income,3700.24,27.36
1 adult,4770,"SNAP, TANF, WIC, Housing",3706.72,27.41
1 adult,4770,"Child Care, SNAP, TANF, WIC, Housing",3706.72,27.41
1 adult,4770,After-tax income,3706.72,27.41
1 adult,4780,"SNAP, TANF, WIC, Housing",3713.2,27.47
1 adult,4780,"Child Care, SNAP, TANF, WIC, Housing",3713.2,27.47
1 adult,4780,After-tax income,3713.2,27.47
1 adult,4790,"SNAP, TANF, WIC, Housing",3719.69,27.53
1 adult,4790,"Child Care, SNAP, TANF, WIC, Housing",3719.69,27.53
1 adult,4790,After-tax income,3719.69,27.53
1 adult,4800,"SNAP, TANF, WIC, Housing",3726.17,27.59
1 adult,4800,"Child Care, SNAP, TANF, WIC, Housing",3726.17,27.59
1 adult,4800,After-tax income,3726.17,27.59
1 adult,4810,"SNAP, TANF, WIC, Housing",3732.66,27.64
1 adult,4810,"Child Care, SNAP, TANF, WIC, Housing",3732.66,27.64
1 adult,4810,After-tax income,3732.66,27.64
1 adult,4820,"SNAP, TANF, WIC, Housing",3739.14,27.7
1 adult,4820,"Child Care, SNAP, TANF, WIC, Housing",3739.14,27.7
1 adult,4820,After-tax income,3739.14,27.7
1 adult,4830,"SNAP, TANF, WIC, Housing",3745.63,27.76
1 adult,4830,"Child Care, SNAP, TANF, WIC, Housing",3745.63,27.76
1 adult,4830,After-tax income,3745.63,27.76
1 adult,4840,"SNAP, TANF, WIC, Housing",3752.11,27.82
1 adult,4840,"Child Care, SNAP, TANF, WIC, Housing",3752.11,27.82
1 adult,4840,After-tax income,3752.11,27.82
1 adult,4850,"SNAP, TANF, WIC, Housing",3758.6,27.87
1 adult,4850,"Child Care, SNAP, TANF, WIC, Housing",3758.6,27.87
1 adult,4850,After-tax income,3758.6,27.87
1 adult,4860,"SNAP, TANF, WIC, Housing",3765.08,27.93
1 adult,4860,"Child Care, SNAP, TANF, WIC, Housing",3765.08,27.93
1 adult,4860,After-tax income,3765.08,27.93
1 adult,4870,"SNAP, TANF, WIC, Housing",3771.57,27.99
1 adult,4870,"Child Care, SNAP, TANF, WIC, Housing",3771.57,27.99
1 adult,4870,After-tax income,3771.57,27.99
1 adult,4880,"SNAP, TANF, WIC, Housing",3778.06,28.05
1 adult,4880,"Child Care, SNAP, TANF, WIC, Housing",3778.06,28.05
1 adult,4880,After-tax income,3778.06,28.05
1 adult,4890,"SNAP, TANF, WIC, Housing",3784.54,28.1
1 adult,4890,"Child Care, SNAP, TANF, WIC, Housing",3784.54,28.1
1 adult,4890,After-tax income,3784.54,28.1
1 adult,4900,"SNAP, TANF, WIC, Housing",3791.03,28.16
1 adult,4900,"Child Care, SNAP, TANF, WIC, Housing",3791.03,28.16
1 adult,4900,After-tax income,3791.03,28.16
1 adult,4910,"SNAP, TANF, WIC, Housing",3797.51,28.22
1 adult,4910,"Child Care, SNAP, TANF, WIC, Housing",3797.51,28.22
1 adult,4910,After-tax income,3797.51,28.22
1 adult,4920,"SNAP, TANF, WIC, Housing",3804,28.28
1 adult,4920,"Child Care, SNAP, TANF, WIC, Housing",3804,28.28
1 adult,4920,After-tax income,3804,28.28
1 adult,4930,"SNAP, TANF, WIC, Housing",3810.48,28.33
1 adult,4930,"Child Care, SNAP, TANF, WIC, Housing",3810.48,28.33
1 adult,4930,After-tax income,3810.48,28.33
1 adult,4940,"SNAP, TANF, WIC, Housing",3816.97,28.39
1 adult,4940,"Child Care, SNAP, TANF, WIC, Housing",3816.97,28.39
1 adult,4940,After-tax income,3816.97,28.39
1 adult,4950,"SNAP, TANF, WIC, Housing",3823.45,28.45
1 adult,4950,"Child Care, SNAP, TANF, WIC, Housing",3823.45,28.45
1 adult,4950,After-tax income,3823.45,28.45
1 adult,4960,"SNAP, TANF, WIC, Housing",3829.93,28.51
1 adult,4960,"Child Care, SNAP, TANF, WIC, Housing",3829.93,28.51
1 adult,4960,After-tax income,3829.93,28.51
1 adult,4970,"SNAP, TANF, WIC, Housing",3836.42,28.56
1 adult,4970,"Child Care, SNAP, TANF, WIC, Housing",3836.42,28.56
1 adult,4970,After-tax income,3836.42,28.56
1 adult,4980,"SNAP, TANF, WIC, Housing",3842.91,28.62
1 adult,4980,"Child Care, SNAP, TANF, WIC, Housing",3842.91,28.62
1 adult,4980,After-tax income,3842.91,28.62
1 adult,4990,"SNAP, TANF, WIC, Housing",3849.39,28.68
1 adult,4990,"Child Care, SNAP, TANF, WIC, Housing",3849.39,28.68
1 adult,4990,After-tax income,3849.39,28.68
1 adult,5000,"SNAP, TANF, WIC, Housing",3855.88,28.74
1 adult,5000,"Child Care, SNAP, TANF, WIC, Housing",3855.88,28.74
1 adult,5000,After-tax income,3855.88,28.74
1 adult,5010,"SNAP, TANF, WIC, Housing",3862.36,28.79
1 adult,5010,"Child Care, SNAP, TANF, WIC, Housing",3862.36,28.79
1 adult,5010,After-tax income,3862.36,28.79
1 adult,5020,"SNAP, TANF, WIC, Housing",3868.84,28.85
1 adult,5020,"Child Care, SNAP, TANF, WIC, Housing",3868.84,28.85
1 adult,5020,After-tax income,3868.84,28.85
1 adult,5030,"SNAP, TANF, WIC, Housing",3875.33,28.91
1 adult,5030,"Child Care, SNAP, TANF, WIC, Housing",3875.33,28.91
1 adult,5030,After-tax income,3875.33,28.91
1 adult,5040,"SNAP, TANF, WIC, Housing",3881.82,28.97
1 adult,5040,"Child Care, SNAP, TANF, WIC, Housing",3881.82,28.97
1 adult,5040,After-tax income,3881.82,28.97
1 adult,5050,"SNAP, TANF, WIC, Housing",3888.3,29.02
1 adult,5050,"Child Care, SNAP, TANF, WIC, Housing",3888.3,29.02
1 adult,5050,After-tax income,3888.3,29.02
1 adult,5060,"SNAP, TANF, WIC, Housing",3894.78,29.08
1 adult,5060,"Child Care, SNAP, TANF, WIC, Housing",3894.78,29.08
1 adult,5060,After-tax income,3894.78,29.08
1 adult,5070,"SNAP, TANF, WIC, Housing",3901.27,29.14
1 adult,5070,"Child Care, SNAP, TANF, WIC, Housing",3901.27,29.14
1 adult,5070,After-tax income,3901.27,29.14
1 adult,5080,"SNAP, TANF, WIC, Housing",3907.75,29.2
1 adult,5080,"Child Care, SNAP, TANF, WIC, Housing",3907.75,29.2
1 adult,5080,After-tax income,3907.75,29.2
1 adult,5090,"SNAP, TANF, WIC, Housing",3914.24,29.25
1 adult,5090,"Child Care, SNAP, TANF, WIC, Housing",3914.24,29.25
1 adult,5090,After-tax income,3914.24,29.25
1 adult,5100,"SNAP, TANF, WIC, Housing",3920.72,29.31
1 adult,5100,"Child Care, SNAP, TANF, WIC, Housing",3920.72,29.31
1 adult,5100,After-tax income,3920.72,29.31
1 adult,5110,"SNAP, TANF, WIC, Housing",3927.21,29.37
1 adult,5110,"Child Care, SNAP, TANF, WIC, Housing",3927.21,29.37
1 adult,5110,After-tax income,3927.21,29.37
1 adult,5120,"SNAP, TANF, WIC, Housing",3933.69,29.43
1 adult,5120,"Child Care, SNAP, TANF, WIC, Housing",3933.69,29.43
1 adult,5120,After-tax income,3933.69,29.43
1 adult,5130,"SNAP, TANF, WIC, Housing",3940.18,29.48
1 adult,5130,"Child Care, SNAP, TANF, WIC, Housing",3940.18,29.48
1 adult,5130,After-tax income,3940.18,29.48
1 adult,5140,"SNAP, TANF, WIC, Housing",3946.67,29.54
1 adult,5140,"Child Care, SNAP, TANF, WIC, Housing",3946.67,29.54
1 adult,5140,After-tax income,3946.67,29.54
1 adult,5150,"SNAP, TANF, WIC, Housing",3953.15,29.6
1 adult,5150,"Child Care, SNAP, TANF, WIC, Housing",3953.15,29.6
1 adult,5150,After-tax income,3953.15,29.6
1 adult,5160,"SNAP, TANF, WIC, Housing",3959.64,29.66
1 adult,5160,"Child Care, SNAP, TANF, WIC, Housing",3959.64,29.66
1 adult,5160,After-tax income,3959.64,29.66
1 adult,5170,"SNAP, TANF, WIC, Housing",3966.12,29.71
1 adult,5170,"Child Care, SNAP, TANF, WIC, Housing",3966.12,29.71
1 adult,5170,After-tax income,3966.12,29.71
1 adult,5180,"SNAP, TANF, WIC, Housing",3972.61,29.77
1 adult,5180,"Child Care, SNAP, TANF, WIC, Housing",3972.61,29.77
1 adult,5180,After-tax income,3972.61,29.77
1 adult,5190,"SNAP, TANF, WIC, Housing",3979.09,29.83
1 adult,5190,"Child Care, SNAP, TANF, WIC, Housing",3979.09,29.83
1 adult,5190,After-tax income,3979.09,29.83
1 adult,5200,"SNAP, TANF, WIC, Housing",3985.58,29.89
1 adult,5200,"Child Care, SNAP, TANF, WIC, Housing",3985.58,29.89
1 adult,5200,After-tax income,3985.58,29.89
1 adult,5210,"SNAP, TANF, WIC, Housing",3992.06,29.94
1 adult,5210,"Child Care, SNAP, TANF, WIC, Housing",3992.06,29.94
1 adult,5210,After-tax income,3992.06,29.94
1 adult,5220,"SNAP, TANF, WIC, Housing",3998.55,30
1 adult,5220,"Child Care, SNAP, TANF, WIC, Housing",3998.55,30
1 adult,5220,After-tax income,3998.55,30
1 adult,5230,"SNAP, TANF, WIC, Housing",4005.03,30.06
1 adult,5230,"Child Care, SNAP, TANF, WIC, Housing",4005.03,30.06
1 adult,5230,After-tax income,4005.03,30.06
1 adult,5240,"SNAP, TANF, WIC, Housing",4011.51,30.11
1 adult,5240,"Child Care, SNAP, TANF, WIC, Housing",4011.51,30.11
1 adult,5240,After-tax income,4011.51,30.11
1 adult,5250,"SNAP, TANF, WIC, Housing",4018,30.17
1 adult,5250,"Child Care, SNAP, TANF, WIC, Housing",4018,30.17
1 adult,5250,After-tax income,4018,30.17
1 adult,5260,"SNAP, TANF, WIC, Housing",4024.49,30.23
1 adult,5260,"Child Care, SNAP, TANF, WIC, Housing",4024.49,30.23
1 adult,5260,After-tax income,4024.49,30.23
1 adult,5270,"SNAP, TANF, WIC, Housing",4030.97,30.29
1 adult,5270,"Child Care, SNAP, TANF, WIC, Housing",4030.97,30.29
1 adult,5270,After-tax income,4030.97,30.29
1 adult,5280,"SNAP, TANF, WIC, Housing",4037.45,30.34
1 adult,5280,"Child Care, SNAP, TANF, WIC, Housing",4037.45,30.34
1 adult,5280,After-tax income,4037.45,30.34
1 adult,5290,"SNAP, TANF, WIC, Housing",4043.94,30.4
1 adult,5290,"Child Care, SNAP, TANF, WIC, Housing",4043.94,30.4
1 adult,5290,After-tax income,4043.94,30.4
1 adult,5300,"SNAP, TANF, WIC, Housing",4050.42,30.46
1 adult,5300,"Child Care, SNAP, TANF, WIC, Housing",4050.42,30.46
1 adult,5300,After-tax income,4050.42,30.46
1 adult,5310,"SNAP, TANF, WIC, Housing",4056.91,30.52
1 adult,5310,"Child Care, SNAP, TANF, WIC, Housing",4056.91,30.52
1 adult,5310,After-tax income,4056.91,30.52
1 adult,5320,"SNAP, TANF, WIC, Housing",4063.39,30.57
1 adult,5320,"Child Care, SNAP, TANF, WIC, Housing",4063.39,30.57
1 adult,5320,After-tax income,4063.39,30.57
1 adult,5330,"SNAP, TANF, WIC, Housing",4069.88,30.63
1 adult,5330,"Child Care, SNAP, TANF, WIC, Housing",4069.88,30.63
1 adult,5330,After-tax income,4069.88,30.63
1 adult,5340,"SNAP, TANF, WIC, Housing",4076.36,30.69
1 adult,5340,"Child Care, SNAP, TANF, WIC, Housing",4076.36,30.69
1 adult,5340,After-tax income,4076.36,30.69
1 adult,5350,"SNAP, TANF, WIC, Housing",4082.85,30.75
1 adult,5350,"Child Care, SNAP, TANF, WIC, Housing",4082.85,30.75
1 adult,5350,After-tax income,4082.85,30.75
1 adult,5360,"SNAP, TANF, WIC, Housing",4089.33,30.8
1 adult,5360,"Child Care, SNAP, TANF, WIC, Housing",4089.33,30.8
1 adult,5360,After-tax income,4089.33,30.8
1 adult,5370,"SNAP, TANF, WIC, Housing",4095.82,30.86
1 adult,5370,"Child Care, SNAP, TANF, WIC, Housing",4095.82,30.86
1 adult,5370,After-tax income,4095.82,30.86
1 adult,5380,"SNAP, TANF, WIC, Housing",4102.31,30.92
1 adult,5380,"Child Care, SNAP, TANF, WIC, Housing",4102.31,30.92
1 adult,5380,After-tax income,4102.31,30.92
1 adult,5390,"SNAP, TANF, WIC, Housing",4108.79,30.98
1 adult,5390,"Child Care, SNAP, TANF, WIC, Housing",4108.79,30.98
1 adult,5390,After-tax income,4108.79,30.98
1 adult,5400,"SNAP, TANF, WIC, Housing",4115.28,31.03
1 adult,5400,"Child Care, SNAP, TANF, WIC, Housing",4115.28,31.03
1 adult,5400,After-tax income,4115.28,31.03
1 adult,5410,"SNAP, TANF, WIC, Housing",4121.76,31.09
1 adult,5410,"Child Care, SNAP, TANF, WIC, Housing",4121.76,31.09
1 adult,5410,After-tax income,4121.76,31.09
1 adult,5420,"SNAP, TANF, WIC, Housing",4128.24,31.15
1 adult,5420,"Child Care, SNAP, TANF, WIC, Housing",4128.24,31.15
1 adult,5420,After-tax income,4128.24,31.15
1 adult,5430,"SNAP, TANF, WIC, Housing",4134.73,31.21
1 adult,5430,"Child Care, SNAP, TANF, WIC, Housing",4134.73,31.21
1 adult,5430,After-tax income,4134.73,31.21
1 adult,5440,"SNAP, TANF, WIC, Housing",4141.22,31.26
1 adult,5440,"Child Care, SNAP, TANF, WIC, Housing",4141.22,31.26
1 adult,5440,After-tax income,4141.22,31.26
1 adult,5450,"SNAP, TANF, WIC, Housing",4147.7,31.32
1 adult,5450,"Child Care, SNAP, TANF, WIC, Housing",4147.7,31.32
1 adult,5450,After-tax income,4147.7,31.32
1 adult,5460,"SNAP, TANF, WIC, Housing",4154.19,31.38
1 adult,5460,"Child Care, SNAP, TANF, WIC, Housing",4154.19,31.38
1 adult,5460,After-tax income,4154.19,31.38
1 adult,5470,"SNAP, TANF, WIC, Housing",4160.67,31.44
1 adult,5470,"Child Care, SNAP, TANF, WIC, Housing",4160.67,31.44
1 adult,5470,After-tax income,4160.67,31.44
1 adult,5480,"SNAP, TANF, WIC, Housing",4167.15,31.49
1 adult,5480,"Child Care, SNAP, TANF, WIC, Housing",4167.15,31.49
1 adult,5480,After-tax income,4167.15,31.49
1 adult,5490,"SNAP, TANF, WIC, Housing",4173.64,31.55
1 adult,5490,"Child Care, SNAP, TANF, WIC, Housing",4173.64,31.55
1 adult,5490,After-tax income,4173.64,31.55
1 adult,5500,"SNAP, TANF, WIC, Housing",4180.12,31.61
1 adult,5500,"Child Care, SNAP, TANF, WIC, Housing",4180.12,31.61
1 adult,5500,After-tax income,4180.12,31.61
"1 adult, 1 child",0,After-tax income,0,0
"1 adult, 1 child",0,"SNAP, TANF, WIC, Housing",1256.56,0
"1 adult, 1 child",0,"Child Care, SNAP, TANF, WIC, Housing",2006.56,0
"1 adult, 1 child",10,After-tax income,12.63,0.06
"1 adult, 1 child",10,"SNAP, TANF, WIC, Housing",1261.19,0.06
"1 adult, 1 child",10,"Child Care, SNAP, TANF, WIC, Housing",2010.19,0.06
"1 adult, 1 child",20,After-tax income,25.27,0.11
