composition,adults,children,monthly_income,payment,benefit
2 adults,2,0,2990,0,Housing Choice Voucher
"2 adults, 1 child",2,1,2990,0,Housing Choice Voucher
"2 adults, 2 children",2,2,2990,87,Housing Choice Voucher
"2 adults, 3 children",2,3,2990,292,Housing Choice Voucher
1 adult,1,0,3000,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3000,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3000,84,Housing Choice Voucher
"1 adult, 3 children",1,3,3000,289,Housing Choice Voucher
2 adults,2,0,3000,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3000,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3000,84,Housing Choice Voucher
"2 adults, 3 children",2,3,3000,289,Housing Choice Voucher
1 adult,1,0,3010,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3010,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3010,81,Housing Choice Voucher
"1 adult, 3 children",1,3,3010,286,Housing Choice Voucher
2 adults,2,0,3010,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3010,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3010,81,Housing Choice Voucher
"2 adults, 3 children",2,3,3010,286,Housing Choice Voucher
1 adult,1,0,3020,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3020,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3020,78,Housing Choice Voucher
"1 adult, 3 children",1,3,3020,283,Housing Choice Voucher
2 adults,2,0,3020,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3020,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3020,78,Housing Choice Voucher
"2 adults, 3 children",2,3,3020,283,Housing Choice Voucher
1 adult,1,0,3030,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3030,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3030,75,Housing Choice Voucher
"1 adult, 3 children",1,3,3030,280,Housing Choice Voucher
2 adults,2,0,3030,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3030,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3030,75,Housing Choice Voucher
"2 adults, 3 children",2,3,3030,280,Housing Choice Voucher
1 adult,1,0,3040,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3040,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3040,72,Housing Choice Voucher
"1 adult, 3 children",1,3,3040,277,Housing Choice Voucher
2 adults,2,0,3040,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3040,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3040,72,Housing Choice Voucher
"2 adults, 3 children",2,3,3040,277,Housing Choice Voucher
1 adult,1,0,3050,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3050,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3050,69,Housing Choice Voucher
"1 adult, 3 children",1,3,3050,274,Housing Choice Voucher
2 adults,2,0,3050,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3050,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3050,69,Housing Choice Voucher
"2 adults, 3 children",2,3,3050,274,Housing Choice Voucher
1 adult,1,0,3060,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3060,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3060,66,Housing Choice Voucher
"1 adult, 3 children",1,3,3060,271,Housing Choice Voucher
2 adults,2,0,3060,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3060,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3060,66,Housing Choice Voucher
"2 adults, 3 children",2,3,3060,271,Housing Choice Voucher
1 adult,1,0,3070,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3070,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3070,63,Housing Choice Voucher
"1 adult, 3 children",1,3,3070,268,Housing Choice Voucher
2 adults,2,0,3070,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3070,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3070,63,Housing Choice Voucher
"2 adults, 3 children",2,3,3070,268,Housing Choice Voucher
1 adult,1,0,3080,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3080,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3080,60,Housing Choice Voucher
"1 adult, 3 children",1,3,3080,265,Housing Choice Voucher
2 adults,2,0,3080,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3080,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3080,60,Housing Choice Voucher
"2 adults, 3 children",2,3,3080,265,Housing Choice Voucher
1 adult,1,0,3090,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3090,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3090,57,Housing Choice Voucher
"1 adult, 3 children",1,3,3090,262,Housing Choice Voucher
2 adults,2,0,3090,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3090,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3090,57,Housing Choice Voucher
"2 adults, 3 children",2,3,3090,262,Housing Choice Voucher
1 adult,1,0,3100,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3100,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3100,54,Housing Choice Voucher
"1 adult, 3 children",1,3,3100,259,Housing Choice Voucher
2 adults,2,0,3100,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3100,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3100,54,Housing Choice Voucher
"2 adults, 3 children",2,3,3100,259,Housing Choice Voucher
1 adult,1,0,3110,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3110,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3110,51,Housing Choice Voucher
"1 adult, 3 children",1,3,3110,256,Housing Choice Voucher
2 adults,2,0,3110,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3110,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3110,51,Housing Choice Voucher
"2 adults, 3 children",2,3,3110,256,Housing Choice Voucher
1 adult,1,0,3120,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3120,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3120,48,Housing Choice Voucher
"1 adult, 3 children",1,3,3120,253,Housing Choice Voucher
2 adults,2,0,3120,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3120,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3120,48,Housing Choice Voucher
"2 adults, 3 children",2,3,3120,253,Housing Choice Voucher
1 adult,1,0,3130,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3130,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3130,45,Housing Choice Voucher
"1 adult, 3 children",1,3,3130,250,Housing Choice Voucher
2 adults,2,0,3130,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3130,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3130,45,Housing Choice Voucher
"2 adults, 3 children",2,3,3130,250,Housing Choice Voucher
1 adult,1,0,3140,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3140,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3140,42,Housing Choice Voucher
"1 adult, 3 children",1,3,3140,247,Housing Choice Voucher
2 adults,2,0,3140,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3140,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3140,42,Housing Choice Voucher
"2 adults, 3 children",2,3,3140,247,Housing Choice Voucher
1 adult,1,0,3150,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3150,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3150,39,Housing Choice Voucher
"1 adult, 3 children",1,3,3150,244,Housing Choice Voucher
2 adults,2,0,3150,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3150,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3150,39,Housing Choice Voucher
"2 adults, 3 children",2,3,3150,244,Housing Choice Voucher
1 adult,1,0,3160,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3160,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3160,36,Housing Choice Voucher
"1 adult, 3 children",1,3,3160,241,Housing Choice Voucher
2 adults,2,0,3160,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3160,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3160,36,Housing Choice Voucher
"2 adults, 3 children",2,3,3160,241,Housing Choice Voucher
1 adult,1,0,3170,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3170,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3170,33,Housing Choice Voucher
"1 adult, 3 children",1,3,3170,238,Housing Choice Voucher
2 adults,2,0,3170,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3170,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3170,33,Housing Choice Voucher
"2 adults, 3 children",2,3,3170,238,Housing Choice Voucher
1 adult,1,0,3180,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3180,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3180,30,Housing Choice Voucher
"1 adult, 3 children",1,3,3180,235,Housing Choice Voucher
2 adults,2,0,3180,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3180,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3180,30,Housing Choice Voucher
"2 adults, 3 children",2,3,3180,235,Housing Choice Voucher
1 adult,1,0,3190,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3190,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3190,27,Housing Choice Voucher
"1 adult, 3 children",1,3,3190,232,Housing Choice Voucher
2 adults,2,0,3190,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3190,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3190,27,Housing Choice Voucher
"2 adults, 3 children",2,3,3190,232,Housing Choice Voucher
1 adult,1,0,3200,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3200,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3200,24,Housing Choice Voucher
"1 adult, 3 children",1,3,3200,229,Housing Choice Voucher
2 adults,2,0,3200,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3200,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3200,24,Housing Choice Voucher
"2 adults, 3 children",2,3,3200,229,Housing Choice Voucher
1 adult,1,0,3210,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3210,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3210,21,Housing Choice Voucher
"1 adult, 3 children",1,3,3210,226,Housing Choice Voucher
2 adults,2,0,3210,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3210,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3210,21,Housing Choice Voucher
"2 adults, 3 children",2,3,3210,226,Housing Choice Voucher
1 adult,1,0,3220,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3220,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3220,18,Housing Choice Voucher
"1 adult, 3 children",1,3,3220,223,Housing Choice Voucher
2 adults,2,0,3220,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3220,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3220,18,Housing Choice Voucher
"2 adults, 3 children",2,3,3220,223,Housing Choice Voucher
1 adult,1,0,3230,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3230,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3230,15,Housing Choice Voucher
"1 adult, 3 children",1,3,3230,220,Housing Choice Voucher
2 adults,2,0,3230,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3230,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3230,15,Housing Choice Voucher
"2 adults, 3 children",2,3,3230,220,Housing Choice Voucher
1 adult,1,0,3240,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3240,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3240,12,Housing Choice Voucher
"1 adult, 3 children",1,3,3240,217,Housing Choice Voucher
2 adults,2,0,3240,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3240,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3240,12,Housing Choice Voucher
"2 adults, 3 children",2,3,3240,217,Housing Choice Voucher
1 adult,1,0,3250,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3250,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3250,9,Housing Choice Voucher
"1 adult, 3 children",1,3,3250,214,Housing Choice Voucher
2 adults,2,0,3250,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3250,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3250,9,Housing Choice Voucher
"2 adults, 3 children",2,3,3250,214,Housing Choice Voucher
1 adult,1,0,3260,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3260,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3260,6,Housing Choice Voucher
"1 adult, 3 children",1,3,3260,211,Housing Choice Voucher
2 adults,2,0,3260,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3260,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3260,6,Housing Choice Voucher
"2 adults, 3 children",2,3,3260,211,Housing Choice Voucher
1 adult,1,0,3270,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3270,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3270,3,Housing Choice Voucher
"1 adult, 3 children",1,3,3270,208,Housing Choice Voucher
2 adults,2,0,3270,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3270,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3270,3,Housing Choice Voucher
"2 adults, 3 children",2,3,3270,208,Housing Choice Voucher
1 adult,1,0,3280,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3280,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3280,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3280,205,Housing Choice Voucher
2 adults,2,0,3280,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3280,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3280,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3280,205,Housing Choice Voucher
1 adult,1,0,3290,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3290,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3290,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3290,202,Housing Choice Voucher
2 adults,2,0,3290,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3290,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3290,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3290,202,Housing Choice Voucher
1 adult,1,0,3300,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3300,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3300,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3300,199,Housing Choice Voucher
2 adults,2,0,3300,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3300,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3300,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3300,199,Housing Choice Voucher
1 adult,1,0,3310,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3310,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3310,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3310,196,Housing Choice Voucher
2 adults,2,0,3310,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3310,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3310,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3310,196,Housing Choice Voucher
1 adult,1,0,3320,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3320,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3320,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3320,193,Housing Choice Voucher
2 adults,2,0,3320,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3320,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3320,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3320,193,Housing Choice Voucher
1 adult,1,0,3330,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3330,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3330,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3330,190,Housing Choice Voucher
2 adults,2,0,3330,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3330,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3330,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3330,190,Housing Choice Voucher
1 adult,1,0,3340,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3340,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3340,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3340,187,Housing Choice Voucher
2 adults,2,0,3340,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3340,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3340,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3340,187,Housing Choice Voucher
1 adult,1,0,3350,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3350,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3350,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3350,184,Housing Choice Voucher
2 adults,2,0,3350,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3350,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3350,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3350,184,Housing Choice Voucher
1 adult,1,0,3360,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3360,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3360,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3360,181,Housing Choice Voucher
2 adults,2,0,3360,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3360,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3360,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3360,181,Housing Choice Voucher
1 adult,1,0,3370,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3370,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3370,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3370,178,Housing Choice Voucher
2 adults,2,0,3370,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3370,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3370,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3370,178,Housing Choice Voucher
1 adult,1,0,3380,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3380,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3380,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3380,175,Housing Choice Voucher
2 adults,2,0,3380,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3380,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3380,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3380,175,Housing Choice Voucher
1 adult,1,0,3390,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3390,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3390,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3390,172,Housing Choice Voucher
2 adults,2,0,3390,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3390,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3390,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3390,172,Housing Choice Voucher
1 adult,1,0,3400,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3400,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3400,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3400,169,Housing Choice Voucher
2 adults,2,0,3400,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3400,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3400,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3400,169,Housing Choice Voucher
1 adult,1,0,3410,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3410,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3410,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3410,166,Housing Choice Voucher
2 adults,2,0,3410,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3410,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3410,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3410,166,Housing Choice Voucher
1 adult,1,0,3420,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3420,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3420,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3420,163,Housing Choice Voucher
2 adults,2,0,3420,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3420,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3420,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3420,163,Housing Choice Voucher
1 adult,1,0,3430,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3430,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3430,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3430,160,Housing Choice Voucher
2 adults,2,0,3430,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3430,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3430,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3430,160,Housing Choice Voucher
1 adult,1,0,3440,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3440,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3440,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3440,157,Housing Choice Voucher
2 adults,2,0,3440,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3440,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3440,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3440,157,Housing Choice Voucher
1 adult,1,0,3450,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3450,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3450,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3450,154,Housing Choice Voucher
2 adults,2,0,3450,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3450,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3450,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3450,154,Housing Choice Voucher
1 adult,1,0,3460,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3460,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3460,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3460,151,Housing Choice Voucher
2 adults,2,0,3460,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3460,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3460,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3460,151,Housing Choice Voucher
1 adult,1,0,3470,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3470,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3470,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3470,148,Housing Choice Voucher
2 adults,2,0,3470,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3470,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3470,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3470,148,Housing Choice Voucher
1 adult,1,0,3480,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3480,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3480,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3480,145,Housing Choice Voucher
2 adults,2,0,3480,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3480,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3480,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3480,145,Housing Choice Voucher
1 adult,1,0,3490,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3490,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3490,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3490,142,Housing Choice Voucher
2 adults,2,0,3490,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3490,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3490,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3490,142,Housing Choice Voucher
1 adult,1,0,3500,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3500,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3500,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3500,139,Housing Choice Voucher
2 adults,2,0,3500,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3500,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3500,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3500,139,Housing Choice Voucher
1 adult,1,0,3510,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3510,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3510,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3510,136,Housing Choice Voucher
2 adults,2,0,3510,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3510,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3510,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3510,136,Housing Choice Voucher
1 adult,1,0,3520,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3520,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3520,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3520,133,Housing Choice Voucher
2 adults,2,0,3520,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3520,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3520,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3520,133,Housing Choice Voucher
1 adult,1,0,3530,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3530,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3530,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3530,130,Housing Choice Voucher
2 adults,2,0,3530,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3530,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3530,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3530,130,Housing Choice Voucher
1 adult,1,0,3540,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3540,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3540,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3540,127,Housing Choice Voucher
2 adults,2,0,3540,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3540,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3540,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3540,127,Housing Choice Voucher
1 adult,1,0,3550,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3550,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3550,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3550,124,Housing Choice Voucher
2 adults,2,0,3550,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3550,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3550,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3550,124,Housing Choice Voucher
1 adult,1,0,3560,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3560,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3560,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3560,121,Housing Choice Voucher
2 adults,2,0,3560,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3560,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3560,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3560,121,Housing Choice Voucher
1 adult,1,0,3570,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3570,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3570,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3570,118,Housing Choice Voucher
2 adults,2,0,3570,0,Housing Choice Voucher
"2 adults, 1 child",2,1,3570,0,Housing Choice Voucher
"2 adults, 2 children",2,2,3570,0,Housing Choice Voucher
"2 adults, 3 children",2,3,3570,118,Housing Choice Voucher
1 adult,1,0,3580,0,Housing Choice Voucher
"1 adult, 1 child",1,1,3580,0,Housing Choice Voucher
"1 adult, 2 children",1,2,3580,0,Housing Choice Voucher
"1 adult, 3 children",1,3,3580,115,Housing Choice Voucher
2 adults,2,0,3580,0,Housing Choice Voucher
